Identifier,skos:prefLabel@en,skos:definition@en,"skos:altLabel(separator="","")","dct:source(separator="","")","skos:broader(separator="","")","skos:exactMatch(separator="","")","skos:closeMatch(separator="","")",skos:editorialNote@en,"dct:creator(separator="","")","dct:contributor(separator="","")",purl_target,
datacite:Supervisor,Supervisor,"Designated administrator over one or more groups/teams working to produce a resource, or over one or more steps of a development process.",,,datacite:contributorType,,,,,,,
datacite:WorkPackageLeader,WorkPackageLeader,"A Work Package is a recognized data product, not all of which is included in publication. The package, instead, may include notes, discarded documents, etc. The Work Package Leader is responsible for ensuring the comprehensive contents, versioning, and availability of the Work Package during the development of the resource.",,,datacite:contributorType,,,,,,,
datacite:OtherContributorType,Other,"Any person or institution making a significant contribution to the development and/or maintenance of the resource, but whose contribution is not adequately described by any of the other values for contributorType.",,,datacite:contributorType,,,,,,,
datacite:nameType,nameType,The type of name.,,,,,,,,,,
datacite:Personal,Personal,,,,datacite:nameType,,,,,,,
datacite:Organizational,Organizational,,,,datacite:nameType,,,,,,,
datacite:titleType,titleType,The type of Title (other than the Main Title).,,,,,,,,,,
datacite:AlternativeTitle,AlternativeTitle,,,,datacite:titleType,,,,,,,
datacite:Subtitle,Subtitle,,,,datacite:titleType,,,,,,,
datacite:TranslatedTitle,TranslatedTitle,,,,datacite:titleType,,,,,,,
datacite:OtherTitleType,Other,,,,datacite:titleType,,,,,,,
datacite:numberType,numberType,"Type of the related item’s number, e.g., report number or article number.",,,,,,,,,,
datacite:Article,Article,,,,datacite:numberType,,,,,,,
datacite:Chapter,Chapter,,,,datacite:numberType,,,,,,,
datacite:Report,Report,,,,datacite:numberType,,,,,,,
datacite:OtherNumberType,Other,,,,datacite:numberType,,,,,,,
datacite:funderIdentifierType,funderIdentifierType,The type of the funderIdentifier.,,,,,,,,,,
datacite:ISNI,ISNI,,,,datacite:funderIdentifierType,,,,,,,
datacite:GRID,GRID,,,,datacite:funderIdentifierType,,,,,,,
datacite:ROR,ROR,,,,datacite:funderIdentifierType,,,,,,,
datacite:CrossrefFunderID,Crossref Funder ID,,,,datacite:funderIdentifierType,,,,,,,
datacite:OtherFunderIdentifierType,Other,,,,datacite:funderIdentifierType,,,,,,,
